         849118 function calls (847173 primitive calls) in 215.035 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 {built-in method _operator.floordiv}
     1113    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:767(<genexpr>)
      448    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1113    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:920(<genexpr>)
      380    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:1194(_set_as_cached)
       53    0.000    0.000   32.162    0.607 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1593(_set_basic_selection_nd)
     1198    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:542(_get_axis_number)
      607    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/inference.py:321(is_hashable)
        1    0.000    0.000    0.000    0.000 {pandas._libs.lib.to_object_array_tuples}
      435    0.000    0.000    0.001    0.000 {built-in method builtins.any}
       78    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:32(seterr)
       46    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1926(new_block)
      812    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/common.py:346(apply_if_callable)
        1    0.000    0.000    0.001    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:60(guess_chunks)
      742    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:790(_validate_key_length)
    72/10    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_compile.py:71(_compile)
       53    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:169(replace_ellipsis)
       26    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/ops/array_ops.py:229(comparison_op)
      371    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/common.py:297(is_null_slice)
       53    0.000    0.000   32.162    0.607 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1215(set_basic_selection)
        2    0.000    0.000    0.000    0.000 {built-in method io.open_code}
      742    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1480(<genexpr>)
      371    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:780(axes)
      212    0.000    0.000    0.000    0.000 {method 'indices' of 'slice' objects}
     1391    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1619(_block)
       26    0.000    0.000    0.006    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:3521(take)
       78    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:132(geterr)
      212    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:18(is_integer)
        3    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1981(_merge_blocks)
      742    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexers.py:66(is_list_like_indexer)
       38    0.000    0.000    0.006    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:2916(_construct_result)
      111    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:160(is_object_dtype)
      151    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1578(_is_dtype_type)
      414    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:4379(_values)
       26    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/range.py:434(take)
      371    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:133(iloc)
     14/9    0.000    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:375(__new__)
