         1378372 function calls (1376121 primitive calls) in 20.932 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
       51    0.001    0.000    0.013    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:5492(_cmp_method)
      714    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1482(_validate_integer)
      832    0.001    0.000    0.001    0.000 <string>:1(__new__)
        1    0.001    0.001    0.017    0.017 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:191(__fix_offsets)
      357    0.001    0.000    0.005    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:747(_has_valid_tuple)
      408    0.001    0.000    0.033    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:1339(<genexpr>)
      816    0.001    0.000    0.001    0.000 {method '__exit__' of '_multiprocessing.SemLock' objects}
     2740    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      625    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:577(name)
      841    0.001    0.000    0.001    0.000 {method 'count' of 'list' objects}
      205    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:105(__init__)
     1889    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      169    0.001    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:840(__getitem__)
      430    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1539(__init__)
      561    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/construction.py:431(ensure_wrapped_if_datetimelike)
     2396    0.000    0.000    0.000    0.000 {built-in method math.ceil}
      451    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_parse.py:164(__getitem__)
      853    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
      851    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       52    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:814(pop_fields)
       51    0.000    0.000    0.000    0.000 {method 'take' of 'numpy.ndarray' objects}
     1212    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:674(_values)
     1310    0.000    0.000    0.000    0.000 {built-in method builtins.min}
    84/22    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_parse.py:174(getwidth)
       12    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1077    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:921(<genexpr>)
       51    0.000    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/ops/array_ops.py:229(comparison_op)
        3    0.000    0.000    0.024    0.008 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:111(maybe_convert_platform)
      430    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:528(_set_axis)
       71    0.000    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1926(new_block)
      581    0.000    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/construction.py:369(extract_array)
       51    0.000    0.000    0.013    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:3521(take)
      816    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/process.py:37(current_process)
       51    0.000    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/range.py:434(take)
