         910295 function calls (908100 primitive calls) in 3.142 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      910    0.001    0.000    0.006    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1391(_validate_key)
      910    0.001    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1482(_validate_integer)
    72/10    0.001    0.000    0.002    0.000 /usr/lib/python3.8/sre_compile.py:71(_compile)
       36    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:224(_rebuild_blknos_and_blklocs)
      455    0.001    0.000    0.007    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:747(_has_valid_tuple)
      520    0.001    0.000    0.047    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:1339(<genexpr>)
       32    0.001    0.000    0.001    0.000 {built-in method _operator.eq}
      324    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
     6203    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      544    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/flags.py:47(__init__)
       65    0.001    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:268(__init__)
     1967    0.001    0.000    0.001    0.000 /usr/lib/python3.8/posixpath.py:41(_get_sep)
  606/603    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:5473(__getattr__)
      544    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1954(_chunk_key)
        3    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1981(_merge_blocks)
      146    0.001    0.000    0.001    0.000 {built-in method _warnings.warn}
   124/78    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      512    0.001    0.000    0.001    0.000 /usr/lib/python3.8/multiprocessing/process.py:234(ident)
     1365    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:921(<genexpr>)
      646    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:577(name)
     1956    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:99(ceildiv)
      508    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1539(__init__)
     2479    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        7    0.001    0.000    0.001    0.000 {built-in method posix.mkdir}
        3    0.001    0.000    0.001    0.000 {built-in method _operator.floordiv}
